Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer,Timepoint,Treatment,x
destabilizing_treatment_25,pc3,0.19639931460292254,0.06804447835602936,-0.5510635889358049,-14.690128266428328,10,14.625648556610273,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0021686462173165478, 0.03085827678376219, 0.004561656911556487, -0.06724437117417328, -0.10878102972522521, -0.1139250146732397, -0.21235149131171843, -0.23847910063420577, -0.2663257710161058, -0.2560330483448507]"
destabilizing_treatment_26,pc1,0.21320402840782657,0.7608704627675866,0.0990014569145111,-13.376574633751295,10,14.812989969042507,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.004577849448742828, 0.07765754375288084, 0.12487698888687265, 0.045468189096325856, 0.0603303694990813, 0.068632392232372, 0.1630929513923408, 0.18874971946018165, 0.08689648926292141, 0.08718418065747667]"
destabilizing_treatment_26,pc2,0.24335475029587117,0.07340802529522447,-0.05690068354341783,-11.260158284096333,10,15.157458640370193,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.008182701292231675, 0.11677530739234988, 0.013368862278036533, 0.02777193316660996, 0.040854720210843166, -0.07077194778435678, -0.08542796244121506, -0.09204843930364798, -0.06278880529100758, -0.11242580321449719]"
destabilizing_treatment_26,pc3,0.22085332088797344,0.2830583135223871,0.250634265162918,-12.812599768085327,10,14.899141912708597,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.004717810512463818, 0.006009913105930413, 0.04461885450001546, 0.14531622280191148, 0.17251193365930556, 0.18905705822638766, 0.22816709631546067, 0.16321388254129654, 0.2759050624825744, 0.25779401445307704]"
destabilizing_treatment_27,pc1,0.23306132626324966,1.4616762052198964,0.07632914799919369,-11.951783681132335,10,15.038238941483009,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0011908640671611838, 0.07542181070710467, 0.07217697172050179, 0.15199297154763136, 0.05931401072523655, 0.019529112728803415, 0.10389103606766958, 0.06377194779425571, 0.0070271765391469315, 0.1905080072361499]"
destabilizing_treatment_27,pc2,0.18216942371680528,1.005136459458844,0.08354076110942718,-15.893633243365969,10,14.468162791821655,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0003557174912440675, 0.061739370982701366, 0.13185328177050146, 0.1265959992427267, 0.04701009173242199, 0.12519821979653373, 0.053371187213641744, 0.045476633937364286, 0.11378910865849952, 0.09527717715444327]"
destabilizing_treatment_27,pc3,0.13986599533572808,0.7730486799789091,-0.03457378641538139,-20.121473603956694,10,13.99642483339424,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.003991928980742136, -0.026836350437443226, -0.04878650465085986, -0.007699179077256209, -0.03243332936583532, -0.062115768273198924, -0.05273116423285468, -0.06050395580802202, -0.031140435841415046, -0.008309059009132716]"
destabilizing_treatment_28,pc1,0.21819025511687437,0.7831115995005818,-0.04988958131249964,-13.006593276892804,10,14.869087191925415,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.005779792030837912, -0.04521822869796425, -0.12374331178159093, -0.0027211917697490123, 0.0045466771932604465, -0.013909240926597169, -0.05561494532541026, -0.034879589976512325, -0.07419447045129647, -0.15699480255856085]"
destabilizing_treatment_28,pc2,0.21624021812785882,0.31872142973505574,-0.20022305309728225,-13.150255696619599,10,14.84711759391083,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.009259723130272391, -0.011660676590101957, 0.03295969051524129, -0.037760996300557965, -0.13179968635812442, -0.12713509972741047, -0.118730232609914, -0.23924703041113765, -0.19118974077656603, -0.2131132070718646]"
destabilizing_treatment_28,pc3,0.1523604113793932,1.1948731438934095,-0.0652603687149838,-18.752512144877677,10,14.137344550996197,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.008434850839695066, -0.09581759043145463, -0.0315584301198986, -0.03701520624001481, -0.06980797071127356, -0.0803498837894916, -0.08565822176447281, -0.05894214421622823, -0.02700066808231999, -0.09152346787884043]"
destabilizing_treatment_29,pc1,0.23879447781374605,0.44739425585062575,-0.04722623268338798,-11.562852832798765,10,15.10440476471591,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0023617417115447624, -0.011458205931184145, -0.13261368700926665, -0.18866737181615584, -0.11093723392423958, -0.04006883458197154, 0.06845144869020658, -0.01927767851928315, -0.05369668229576797, -0.07816454259105066]"
destabilizing_treatment_29,pc2,0.18986051172823087,0.4400356904481886,-0.019897204820641896,-15.231875228290459,10,14.553219426809093,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.004008129022783235, 0.031579272556575576, -0.017064864250030752, -0.07321549422878398, -0.05610496675163532, -0.0011449914315464285, 0.03863111741950835, 0.011789160658334925, -0.02698957568326561, -0.06183960687168599]"
destabilizing_treatment_29,pc3,0.21456828290520819,1.3566904677443112,-0.013903033142467495,-13.274524297514443,10,14.828306535952512,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.00604969600028387, -0.05957407008806965, 0.021466682693236434, -0.0942032704204056, 0.04224004446334084, -0.0026705355408762205, 0.03218989114324644, 0.022283215488468927, -0.020155336105492715, -0.07357878728577152]"
destabilizing_treatment_30,pc1,0.29332406818655976,0.07138812060701616,0.368063469776549,-8.272117572831009,10,15.774218937969916,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.00948695174329682, -0.1174429199063018, -0.1675225186354975, -0.2437808964520412, -0.1598676808157633, -0.07386838118726403, -0.057919371034274234, 0.046793723964900474, 0.20135964354404315, 0.18378055710335486]"
destabilizing_treatment_30,pc2,0.2160129002215518,0.7139521105341529,0.06524711579656653,-13.167197463753178,10,14.844542607741673,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.004675527902411747, 0.017513619824664303, 0.029298105915993085, 0.029348148899790177, 0.13654282178328747, 0.11488990412917378, 0.10240425045062429, -0.010297370010696652, 0.0347923193898548, 0.07380320001808482]"
destabilizing_treatment_30,pc3,0.16752021533343364,1.0309483732537228,-0.14533553575036323,-17.234891063921363,10,14.306128241364682,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.003131067358173969, -0.17576394398064868, -0.21708527037772143, -0.17805139207003431, -0.15924332988261897, -0.09461724407901853, -0.1282199556231688, -0.1149351015896521, -0.15298434237979824, -0.16242013294853969]"
destabilizing_treatment_31,pc1,0.2618143482258869,0.43706123563570076,-0.06822945182470452,-10.090445049740982,10,15.376822117210263,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.001261692798473526, 0.03702040792129791, 0.03459483772875372, 0.08534655438049552, -0.049005521757342685, -0.03586239451145575, -0.034284265816648805, -0.1862517351029002, -0.13407780240911926, -0.10061258364221337]"
destabilizing_treatment_31,pc2,0.24647848691255017,0.3989059441050373,0.0037776100304092834,-11.056201517665908,10,15.19401701228993,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.002462881296669408, 0.009680332329398349, -0.05002227893532936, -0.02475203310666461, -0.006369534627789306, -0.1274602872148168, -0.12356005253155651, -0.020654290672481895, 0.0005308126951648617, 0.09436855718605516]"
destabilizing_treatment_31,pc3,0.20773593363043566,0.8148785608530356,0.06594519750698397,-13.792287960325293,10,14.751780815005468,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0017012658089203935, 0.0702644845224708, -0.016482225732644656, 0.06080437031667564, 0.010047081967539132, 0.033008697288703634, 0.11475911078303942, 0.14376099651236038, 0.061862862327369275, 0.011188383215650612]"
destabilizing_treatment_32,pc1,0.21765640253396923,0.436321418648455,-0.009146589374802078,-13.045899636932752,10,14.863052239340387,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.002389839857570044, 0.01665269065898467, 0.00048520722022002416, 0.02946737041257635, -0.02119762889899852, 0.04028232464232666, 0.07617448041294692, 0.030192824638985094, -0.06899794728154143, -0.08714201687443994]"
destabilizing_treatment_32,pc2,0.2235971184134866,-3.0328778217543044e-07,-64526.526087265054,-12.615026454289602,10,14.930222641717744,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.008775000149225274, 0.04328338053663024, 0.0028476208389824897, -0.010072720264218477, -0.08335750332783548, -0.0842697345629048, -0.0755320827551186, 0.0017119190201600881, 0.09446428034118458, 0.1073500697306028]"
destabilizing_treatment_32,pc3,0.237625824687746,0.16763964106910412,-0.27646798680165885,-11.641432093298075,10,15.090859066388504,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0063490325941087875, 0.0327308549028659, 0.06344018302285503, -0.009281607981702383, -0.050958103238693514, -0.03892532695308505, -0.19154903633799308, -0.23039391105950133, -0.26331329065620107, -0.2244788107122811]"
destabilizing_treatment_33,pc1,0.2953404765048747,0.5659298585199517,0.15896424546540538,-8.162378294534097,10,15.800928831652051,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0029675461380515157, 0.09570329166994906, 0.18102424705092723, 0.012744964425380867, 0.012359813873529472, 0.17786541367825306, 0.3119500757295802, 0.23172196590255556, 0.22136548207512374, 0.15602622612350725]"
destabilizing_treatment_33,pc2,0.2061370660983175,0.14179032537520106,-0.4767493593869917,-13.915982435217856,10,14.7339240098232,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.009549524490031, -0.06072233939517139, -0.016735249850144858, -0.02594270624562897, -0.11825381609962934, -0.1523932337623758, -0.23208857668232996, -0.31601420658136214, -0.2646917385566382, -0.328925905559113]"
destabilizing_treatment_33,pc3,0.2753650007288958,0.42542807597699944,0.06169106457350412,-9.28301905837579,10,15.543626353087445,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.008265906427386751, -0.08779355488220765, -0.05597414056874489, 0.04732925216925586, -0.05682276692540217, -0.027958375827336304, 0.08711833152919439, 0.07218603835544514, 0.1802030802083669, 0.13233591523835453]"
destabilizing_treatment_34,pc1,0.20606450937488746,1.4283488604858894,0.04112073866136459,-13.921634319921177,10,14.733111887890393,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.006164919264710667, 0.07772838366206533, 0.09469166683446004, 0.0561963902142712, 0.02144759792673194, 0.02909911731303204, 0.0729577205220231, -0.06936784763249684, 0.08992210116627586, 0.06291484099036442]"
destabilizing_treatment_34,pc2,0.20712254788769852,0.8761211060546255,-0.013321455507190197,-13.839579000197439,10,14.744934938668049,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0024860237368596392, 0.06418369687570631, -0.01236309734944395, -0.053391589418254844, 0.02988138036501608, 0.0042196058923928935, -0.07155229261949592, -0.03703958372365917, -0.046086450679035273, -0.006359444342348655]"
destabilizing_treatment_34,pc3,0.22205801687706153,1.1379997616514423,0.014272669132473107,-12.72554597558651,10,14.912777065480604,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.00779831125277759, 0.03840482241811516, 0.08706742348058777, -0.02798078270325259, -0.06135786199728287, 0.023576023134399313, 0.08700599951982062, 0.03515545100643665, -0.04338561341406945, 0.06578853192802392]"
